"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change","symbol"
"ENSG00000282221",76.259615381475,-0.0601905396809015,0.339455020761374,-0.177315214091983,0.859260801027268,0.938350235639721,"NOT","ENSG00000282221"
"ENSG00000110514",4582.67975770097,0.0253395117134717,0.0809067617189702,0.313193992382102,0.754133282387592,0.884816584278367,"NOT","MADD"
"ENSG00000086015",7843.58374766196,0.538814711400309,0.0900143607788957,5.98587499525561,2.15229626382183e-09,1.50321337902848e-07,"NOT","MAST2"
"ENSG00000169740",341.377048792235,0.464347898940901,0.217539473596046,2.13454547473604,0.0327981553327075,0.136057690792271,"NOT","ZNF32"
"ENSG00000261609",4222.56045754142,-0.137582187055239,0.129355358943508,-1.06359866478608,0.287510547541543,0.534190248796716,"NOT","GAN"
"ENSG00000261606",12.8205802491559,1.56378092156112,1.03314103375688,1.51361805452121,0.130122739308428,NA,"NOT","ENSG00000261606"
"ENSG00000215861",17.8229889187688,-0.150326387638797,0.55187090795686,-0.272394115129815,0.785318997136982,0.901446589943752,"NOT","ENSG00000215861"
"ENSG00000168298",7.83059554885146,-0.514664573247542,0.810503423749492,-0.634993706586258,0.525432519571515,NA,"NOT","H1-4"
"ENSG00000168297",889.031228952358,-0.310170126652289,0.118450316612332,-2.61856730756934,0.0088299870050671,0.0532880472000709,"NOT","PXK"
"ENSG00000168291",2682.45822397517,-0.130847861051708,0.0708120696701978,-1.847818622745,0.0646285859417553,0.211422644301094,"NOT","PDHB"
"ENSG00000225108",252.827208519751,0.218251186462145,0.286117817862627,0.76280179994569,0.445581607508992,0.681420354626037,"NOT","ENSG00000225108"
"ENSG00000149792",4707.375439383,0.187644771643948,0.0823069510078995,2.27981682404854,0.0226185547595796,0.104939122836858,"NOT","MRPL49"
"ENSG00000149798",737.065309534641,0.228243333504076,0.219704919393012,1.0388630993546,0.29886841016446,0.546430875974268,"NOT","CDC42EP2"
"ENSG00000183054",1877.88712652258,-0.306201982315784,0.155013866260766,-1.97531994847925,0.0482318508248766,0.175660284622731,"NOT","RGPD6"
"ENSG00000259244",37.0450257956729,-0.288659288810638,0.445949189421314,-0.647291879115682,0.517443056383516,0.735979357787129,"NOT","ENSG00000259244"
"ENSG00000250565",642.498523129999,0.569644324531701,0.128355036221076,4.438036412927,9.07832638189173e-06,0.000223076222961802,"NOT","ATP6V1E2"
"ENSG00000250562",13.825898386246,1.71004865134104,0.855215554557083,1.99955279371255,0.0455485756962486,NA,"NOT","ENSG00000250562"
"ENSG00000187961",3047.48778926184,-0.348178055471596,0.162322280292264,-2.14498006585846,0.0319544408379324,0.133270714555814,"NOT","KLHL17"
"ENSG00000250568",18.0120036131033,-0.0917271764401677,0.770229276685193,-0.119090742479863,0.905203464978388,0.959858011575359,"NOT","ENSG00000250568"
"ENSG00000250569",20.3948945220389,-0.591342772668768,0.577070921425497,-1.0247315376904,0.305489877805322,0.552363904318117,"NOT","NTAN1P2"
"ENSG00000162840",158.945735771547,-0.0437669715372257,0.367941489544765,-0.118950900566762,0.905314255171551,0.959858011575359,"NOT","ENSG00000162840"
"ENSG00000162849",128.346028463598,-0.221106343314403,0.266016128326079,-0.831176458005483,0.40587395208009,0.647671674755399,"NOT","KIF26B"
"ENSG00000283689",12.2228959062562,0.884514542343274,0.891196029647826,0.992502786051243,0.320952321060413,NA,"NOT","ENSG00000283689"
"ENSG00000149243",141.41294795955,-0.536002412980961,0.270181814576762,-1.98385821718092,0.0472716479568666,0.173485419411629,"NOT","KLHL35"
"ENSG00000184702",498.099634037985,0.660855948378583,0.287758409169052,2.29656519956067,0.0216435857859365,0.101741101290919,"NOT","SEPTIN5"
"ENSG00000286067",335.640851859422,-0.49706782355647,0.165285855501941,-3.00732220580503,0.00263560246703753,0.0220770984300638,"NOT","ENSG00000286067"
"ENSG00000286069",12.7160980367955,-1.03537943892996,1.07071124472921,-0.967001555299639,0.33354325616091,NA,"NOT","LOC105378250"
"ENSG00000184708",1872.50927654441,0.00687852086099133,0.112731147905042,0.0610170391131418,0.951345639089329,0.979446958851521,"NOT","EIF4ENIF1"
"ENSG00000184709",135.578682663437,-0.33472312886437,0.319754320061401,-1.04681346854077,0.295185617278653,0.542044253631617,"NOT","LRRC26"
"ENSG00000163462",370.861628717893,0.0370238257781286,0.162116021377746,0.228378573958829,0.819351944858495,0.918829599171576,"NOT","TRIM46"
"ENSG00000163463",1788.14868958482,-0.213207789165731,0.121581791325791,-1.75361611998641,0.0794963069818047,0.242739774421152,"NOT","KRTCAP2"
"ENSG00000163464",20.607800377843,1.28265329145022,0.6947771932918,1.84613614815579,0.0648724393256436,0.211988235687306,"NOT","CXCR1"
"ENSG00000163466",14189.8974578362,0.0198115884052988,0.0626998415908773,0.315975095034073,0.752021411722459,0.883594747037731,"NOT","ARPC2"
"ENSG00000163467",82.44761370816,0.495199166866824,0.384443977800428,1.28809188194357,0.197713980901996,0.429306251249473,"NOT","TSACC"
"ENSG00000163468",38455.2601704981,0.174905504867832,0.0874661753464102,1.99969307192315,0.0455334167573788,0.16936227826579,"NOT","CCT3"
